北京联通[A],#genre#
CCTV1,http://cards.imwork.net:15893/udp/239.3.1.129:8008
CCTV2,http://cards.imwork.net:15893/udp/239.3.1.60:8084
CCTV3,http://cards.imwork.net:15893/udp/239.3.1.172:8001
CCTV4,http://cards.imwork.net:15893/udp/239.3.1.105:8092
CCTV5,http://cards.imwork.net:15893/udp/239.3.1.173:8001
CCTV6,http://cards.imwork.net:15893/udp/239.3.1.174:8001
CCTV7,http://cards.imwork.net:15893/udp/239.3.1.61:8104
CCTV8,http://cards.imwork.net:15893/udp/239.3.1.175:8001
CCTV9,http://cards.imwork.net:15893/udp/239.3.1.62:8112
CCTV10,http://cards.imwork.net:15893/udp/239.3.1.63:8116
CCTV11,http://cards.imwork.net:15893/udp/239.3.1.152:8120
CCTV12,http://cards.imwork.net:15893/udp/239.3.1.64:8124
CCTV13,http://cards.imwork.net:15893/udp/239.3.1.124:8128
CCTV14,http://cards.imwork.net:15893/udp/239.3.1.65:8132
CCTV15,http://cards.imwork.net:15893/udp/239.3.1.153:8136
CCTV16,http://cards.imwork.net:15893/udp/239.3.1.184:8001
CCTV17,http://cards.imwork.net:15893/udp/239.3.1.151:8144
CCTV5+,http://cards.imwork.net:15893/udp/239.3.1.130:8004
聚鲨环球精选,http://cards.imwork.net:15893/udp/239.3.1.179:8001
央广购物,http://cards.imwork.net:15893/udp/239.3.1.222:8001
北京卫视,http://cards.imwork.net:15893/udp/239.3.1.241:8000
BRTV文艺高清,http://cards.imwork.net:15893/udp/239.3.1.242:8000
纪实科教,http://cards.imwork.net:15893/udp/239.3.1.115:8000
BRTV影视高清,http://cards.imwork.net:15893/udp/239.3.1.158:8000
BRTV财经高清,http://cards.imwork.net:15893/udp/239.3.1.116:8000
BRTV体育休闲,http://cards.imwork.net:15893/udp/239.3.1.243:8000
BRTV生活高清,http://cards.imwork.net:15893/udp/239.3.1.117:8000
BRTV卡酷少儿,http://cards.imwork.net:15893/udp/239.3.1.189:8000
BRTV新闻高清,http://cards.imwork.net:15893/udp/239.3.1.159:8000
家有购物精选,http://cards.imwork.net:15893/udp/239.3.1.186:8001
优购物,http://cards.imwork.net:15893/udp/239.3.1.180:8001
时尚购物,http://cards.imwork.net:15893/udp/239.3.1.181:8001
萌宠TV,http://cards.imwork.net:15893/udp/239.3.1.102:8001
淘BABY,http://cards.imwork.net:15893/udp/239.3.1.238:8001
淘剧场,http://cards.imwork.net:15893/udp/239.3.1.95:8001
淘电影,http://cards.imwork.net:15893/udp/239.3.1.250:8001
淘娱乐,http://cards.imwork.net:15893/udp/239.3.1.100:8001
北京IPTV4K超清,http://cards.imwork.net:15893/udp/239.3.1.249:8001
湖南卫视,http://cards.imwork.net:15893/udp/239.3.1.132:8012
家有购物,http://cards.imwork.net:15893/udp/239.3.1.185:8001
央广购物精选,http://cards.imwork.net:15893/udp/239.3.1.223:8001
江苏卫视,http://cards.imwork.net:15893/udp/239.3.1.135:8028
东方卫视,http://cards.imwork.net:15893/udp/239.3.1.136:8032
浙江卫视,http://cards.imwork.net:15893/udp/239.3.1.137:8036
湖北卫视,http://cards.imwork.net:15893/udp/239.3.1.138:8044
天津卫视,http://cards.imwork.net:15893/udp/239.3.1.141:1234
聚鲨环球,http://cards.imwork.net:15893/udp/239.3.1.160:8001
山东卫视,http://cards.imwork.net:15893/udp/239.3.1.209:8052
辽宁卫视,http://cards.imwork.net:15893/udp/239.3.1.210:8056
安徽卫视,http://cards.imwork.net:15893/udp/239.3.1.211:8064
黑龙江卫视,http://cards.imwork.net:15893/udp/239.3.1.133:8016
贵州卫视,http://cards.imwork.net:15893/udp/239.3.1.149:8076
东南卫视,http://cards.imwork.net:15893/udp/239.3.1.156:8148
重庆卫视,http://cards.imwork.net:15893/udp/239.3.1.122:8160
江西卫视,http://cards.imwork.net:15893/udp/239.3.1.123:8164
河南卫视,http://cards.imwork.net:15893/udp/239.3.1.50:8184
优购物精选,http://cards.imwork.net:15893/udp/239.3.1.190:8001
时尚购物精选,http://cards.imwork.net:15893/udp/239.3.1.191:8001
甘肃卫视,http://cards.imwork.net:15893/udp/239.3.1.201:8180
西藏卫视,http://cards.imwork.net:15893/udp/239.3.1.166:8188
新疆卫视,http://cards.imwork.net:15893/udp/239.3.1.167:8192
兵团卫视,http://cards.imwork.net:15893/udp/239.3.1.168:8196
睛彩竞技,http://cards.imwork.net:15893/udp/239.3.1.125:8001
睛彩篮球,http://cards.imwork.net:15893/udp/239.3.1.126:8001
睛彩青少,http://cards.imwork.net:15893/udp/239.3.1.127:8001
睛彩广场舞,http://cards.imwork.net:15893/udp/239.3.1.128:8001
宁夏卫视,http://cards.imwork.net:15893/udp/239.3.1.169:8212
广东卫视,http://cards.imwork.net:15893/udp/239.3.1.142:8048
河北卫视,http://cards.imwork.net:15893/udp/239.3.1.148:8072
深圳卫视,http://cards.imwork.net:15893/udp/239.3.1.134:8020
