广西电信[A],#genre#
玉林新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.177:4056
广西卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.107:4056
广西综艺旅游,http://ik.zjx5106.xyz:8001/rtp/239.81.0.214:4056
广西新闻,http://ik.zjx5106.xyz:8001/rtp/239.81.0.248:4056
广西都市,http://ik.zjx5106.xyz:8001/rtp/239.81.0.247:4056
广西影视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.250:4056
广西国际,http://ik.zjx5106.xyz:8001/rtp/239.81.0.8:4056
广西乐思购,http://ik.zjx5106.xyz:8001/rtp/239.81.0.9:4056
广西移动电视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.216:4056
南宁新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.241:4056
南宁文旅生活,http://ik.zjx5106.xyz:8001/rtp/239.81.0.139:4056
南宁影视娱乐,http://ik.zjx5106.xyz:8001/rtp/239.81.0.140:4056
南宁公共,http://ik.zjx5106.xyz:8001/rtp/239.81.0.141:4056
北海新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.154:4056
贵港新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.172:4056
贺州综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.163:4056
钦州综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.164:4056
防城港新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.151:4056
来宾综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.173:4056
梧州新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.176:4056
柳州新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.175:4056
桂林新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.174:4056
桂林科教旅游,http://ik.zjx5106.xyz:8001/rtp/239.81.0.221:4056
桂林公共频道,http://ik.zjx5106.xyz:8001/rtp/239.81.0.222:4056
河池新闻综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.168:4056
百色综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.150:4056
崇左综合,http://ik.zjx5106.xyz:8001/rtp/239.81.0.218:4056
CCTV1,http://ik.zjx5106.xyz:8001/rtp/239.81.0.102:4056
CCTV2,http://ik.zjx5106.xyz:8001/rtp/239.81.0.115:4056
CCTV3,http://ik.zjx5106.xyz:8001/rtp/239.81.0.231:4056
CCTV4,http://ik.zjx5106.xyz:8001/rtp/239.81.0.96:4056
CCTV5,http://ik.zjx5106.xyz:8001/rtp/239.81.0.232:4056
CCTV5,http://ik.zjx5106.xyz:8001/rtp/239.81.0.101:4056
CCTV6,http://ik.zjx5106.xyz:8001/rtp/239.81.0.233:4056
CCTV7,http://ik.zjx5106.xyz:8001/rtp/239.81.0.116:4056
CCTV8,http://ik.zjx5106.xyz:8001/rtp/239.81.0.234:4056
CCTV9,http://ik.zjx5106.xyz:8001/rtp/239.81.0.117:4056
CCTV10,http://ik.zjx5106.xyz:8001/rtp/239.81.0.118:4056
CCTV11,http://ik.zjx5106.xyz:8001/rtp/239.81.0.229:4056
CCTV12,http://ik.zjx5106.xyz:8001/rtp/239.81.0.119:4056
CCTV13,http://ik.zjx5106.xyz:8001/rtp/239.81.0.206:4056
CCTV14,http://ik.zjx5106.xyz:8001/rtp/239.81.0.120:4056
CCTV15,http://ik.zjx5106.xyz:8001/rtp/239.81.0.230:4056
CCTV16,http://ik.zjx5106.xyz:8001/rtp/239.81.0.142:4056
CCTV16,http://ik.zjx5106.xyz:8001/rtp/239.81.0.144:4056
CCTV17,http://ik.zjx5106.xyz:8001/rtp/239.81.0.228:4056
CCTV4K,http://ik.zjx5106.xyz:8001/rtp/239.81.0.196:4056
广东卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.252:4056
广东卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.104:4056
湖南卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.72:4056
湖南卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.110:4056
东方卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.76:4056
东方卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.111:4056
北京卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.109:4056
北京卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.225:4056
北京纪实科教,http://ik.zjx5106.xyz:8001/rtp/239.81.0.195:4056
浙江卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.75:4056
浙江卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.108:4056
江苏卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.73:4056
江苏卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.106:4056
深圳卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.254:4056
深圳卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.103:4056
天津卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.113:4056
湖北卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.112:4056
山东卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.78:4056
山东卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.114:4056
黑龙江卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.105:4056
吉林卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.143:4056
辽宁卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.210:4056
河北卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.94:4056
贵州卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.95:4056
东南卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.215:4056
安徽卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.211:4056
甘肃卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.207:4056
江西卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.204:4056
四川卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.80:4056
四川卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.130:4056
大湾区卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.32:4056
陕西卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.89:4056
河南卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.220:4056
云南卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.42:4056
新疆卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.122:4056
重庆卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.44:4056
海南卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.199:4056
山西卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.49:4056
青海卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.47:4056
内蒙古卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.54:4056
西藏卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.90:4056
宁夏卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.200:4056
山东教育卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.93:4056
三沙卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.79:4056
厦门卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.212:4056
兵团卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.223:4056
康巴卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.56:4056
延边卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.57:4056
安多卫视,http://ik.zjx5106.xyz:8001/rtp/239.81.1.59:4056
中国教育1台,http://ik.zjx5106.xyz:8001/rtp/239.81.0.92:4056
中国教育2台,http://ik.zjx5106.xyz:8001/rtp/239.81.0.245:4056
中国教育3台,http://ik.zjx5106.xyz:8001/rtp/239.81.1.62:4056
中国教育4台,http://ik.zjx5106.xyz:8001/rtp/239.81.0.188:4056
中国天气,http://ik.zjx5106.xyz:8001/rtp/239.81.1.100:4056
中国交通,http://ik.zjx5106.xyz:8001/rtp/239.81.0.219:4056
CHC家庭影院,http://ik.zjx5106.xyz:8001/rtp/239.81.0.238:4056
CHC动作电影,http://ik.zjx5106.xyz:8001/rtp/239.81.0.239:4056
CHC影迷电影,http://ik.zjx5106.xyz:8001/rtp/239.81.0.240:4056
精彩影视,http://ik.zjx5106.xyz:8001/rtp/239.81.0.152:4056
