湖北电信[A],#genre#
CCTV1,http://speedtest.xk8.top:8001/udp/239.254.97.96:8550
CCTV2,http://speedtest.xk8.top:8001/udp/239.69.1.102:10250
CCTV3,http://speedtest.xk8.top:8001/udp/239.69.1.122:10370
CCTV4,http://speedtest.xk8.top:8001/udp/239.69.1.138:10466
CCTV5,http://speedtest.xk8.top:8001/udp/239.69.1.123:10376
CCTV6,http://speedtest.xk8.top:8001/udp/239.69.1.124:10382
CCTV7,http://speedtest.xk8.top:8001/udp/239.69.1.103:10256
CCTV8,http://speedtest.xk8.top:8001/udp/239.69.1.125:10388
CCTV9,http://speedtest.xk8.top:8001/udp/239.69.1.104:10262
CCTV10,http://speedtest.xk8.top:8001/udp/239.69.1.105:10268
CCTV11,http://speedtest.xk8.top:8001/udp/239.69.1.154:10560
CCTV12,http://speedtest.xk8.top:8001/udp/239.69.1.106:10274
CCTV13,http://speedtest.xk8.top:8001/udp/239.254.97.161:9040
CCTV14,http://speedtest.xk8.top:8001/udp/239.69.1.107:10280
CCTV15,http://speedtest.xk8.top:8001/udp/239.69.1.155:10566
CCTV16,http://speedtest.xk8.top:8001/udp/239.69.1.247:11124
CCTV17,http://speedtest.xk8.top:8001/udp/239.69.1.152:10548
CCTV5,http://speedtest.xk8.top:8001/udp/239.254.97.234:9484
CCTV4K,http://speedtest.xk8.top:8001/udp/239.69.1.111:10304
CCTV16,http://speedtest.xk8.top:8001/udp/239.69.1.249:11136
CCTV4,http://speedtest.xk8.top:8001/udp/239.69.1.231:11028
CCTV4,http://speedtest.xk8.top:8001/udp/239.69.1.232:11034
CGTN,http://speedtest.xk8.top:8001/udp/239.69.1.233:11040
CGTN西班牙语,http://speedtest.xk8.top:8001/udp/239.69.1.234:11046
CGTN法语,http://speedtest.xk8.top:8001/udp/239.69.1.235:11052
CGTN阿拉伯语,http://speedtest.xk8.top:8001/udp/239.69.1.221:10968
CGTN俄语,http://speedtest.xk8.top:8001/udp/239.69.1.222:10974
CGTN,http://speedtest.xk8.top:8001/udp/239.254.97.175:9124
湖北卫视,http://speedtest.xk8.top:8001/udp/239.254.97.115:8664
湖北经视,http://speedtest.xk8.top:8001/udp/239.69.1.41:9886
湖北综合,http://speedtest.xk8.top:8001/udp/239.69.1.42:9892
湖北垄上,http://speedtest.xk8.top:8001/udp/239.69.1.43:9898
湖北公共,http://speedtest.xk8.top:8001/udp/239.69.1.40:9880
湖北影视,http://speedtest.xk8.top:8001/udp/239.69.1.204:10866
湖北教育,http://speedtest.xk8.top:8001/udp/239.69.1.206:10878
湖北生活,http://speedtest.xk8.top:8001/udp/239.69.1.205:10872
荆州新闻综合HD,http://speedtest.xk8.top:8001/udp/239.69.1.77:10102
荆州垄上HD,http://speedtest.xk8.top:8001/udp/239.69.1.128:10406
江陵综合,http://speedtest.xk8.top:8001/udp/239.69.1.39:9874
监利综合,http://speedtest.xk8.top:8001/udp/239.69.1.58:9988
松滋综合,http://speedtest.xk8.top:8001/udp/239.69.1.61:10006
洪湖综合,http://speedtest.xk8.top:8001/udp/239.69.1.66:10036
石首综合,http://speedtest.xk8.top:8001/udp/239.69.1.78:10108
巴东新闻HD,http://speedtest.xk8.top:8001/udp/239.69.1.37:9862
通城新闻综合,http://speedtest.xk8.top:8001/udp/239.69.1.37:9862
丹江口新闻频道HD,http://speedtest.xk8.top:8001/udp/239.69.1.37:9862
黄石阳新新闻HD,http://speedtest.xk8.top:8001/udp/239.69.1.34:9844
荆州公安综合HD,http://speedtest.xk8.top:8001/udp/239.69.1.45:9910
武汉教育,http://speedtest.xk8.top:8001/udp/239.69.1.60:9994
四画面,http://speedtest.xk8.top:8001/udp/239.69.1.170:10656
房县综合,http://speedtest.xk8.top:8001/udp/239.69.1.192:10794
哈萨克语新闻综合,http://speedtest.xk8.top:8001/udp/239.254.97.228:9448
