河南联通[A],#genre#
河南卫视4k,http://222.141.134.39:8888/udp/225.1.4.254:1300 
广东卫视4K,http://222.141.134.39:8888/udp/225.1.5.69:1379  
深圳卫视4K,http://222.141.134.39:8888/udp/225.1.5.68:1378  
四川卫视4K,http://222.141.134.39:8888/udp/225.1.5.75:1385  
湖南卫视4K,http://222.141.134.39:8888/udp/225.1.5.76:1386  
山东卫视4K,http://222.141.134.39:8888/udp/225.1.5.73:1383  
浙江卫视4K,http://222.141.134.39:8888/udp/225.1.5.72:1382
江苏卫视4K,http://222.141.134.39:8888/udp/225.1.5.71:1381
东方卫视4K,http://222.141.134.39:8888/udp/225.1.5.70:1380
北京卫视4K,http://222.141.134.39:8888/udp/225.1.5.67:1377
河南卫视,http://222.141.134.39:8888/udp/225.1.4.254:1300
河南都市,http://222.141.134.39:8888/udp/225.1.4.52:1081
河南民生,http://222.141.134.39:8888/udp/225.1.4.53:1082
河南法治,http://222.141.134.39:8888/udp/225.1.4.54:1083
河南电视剧,http://222.141.134.39:8888/udp/225.1.4.55:1084
河南新闻,http://222.141.134.39:8888/udp/225.1.4.56:1085
河南公共,http://222.141.134.39:8888/udp/225.1.4.58:1087
河南乡村,http://222.141.134.39:8888/udp/225.1.4.120:1149
河南梨园,http://222.141.134.39:8888/udp/225.1.4.102:1131
河南梨园,http://222.141.134.39:8888/udp/225.1.4.99:1128
文物宝库,http://222.141.134.39:8888/udp/225.1.4.100:1129
武术世界,http://222.141.134.39:8888/udp/225.1.4.101:1130
睛彩中原,http://222.141.134.39:8888/udp/225.1.4.163:1203
河南移动电视,http://222.141.134.39:8888/udp/225.1.5.40:1350
健康河南融媒,http://222.141.134.39:8888/udp/225.1.5.48:1358
大美河南,http://222.141.134.39:8888/udp/225.1.4.194:1244
CCTV1,http://222.141.134.39:8888/udp/225.1.4.73:1102
CCTV2,http://222.141.134.39:8888/udp/225.1.4.74:1103
CCTV3,http://222.141.134.39:8888/udp/225.1.4.158:1194
CCTV4,http://222.141.134.39:8888/udp/225.1.5.30:1333
CCTV5,http://222.141.134.39:8888/udp/225.1.4.159:1195
CCTV6,http://222.141.134.39:8888/udp/225.1.4.160:1196
CCTV7,http://222.141.134.39:8888/udp/225.1.4.76:1105
CCTV8,http://222.141.134.39:8888/udp/225.1.4.161:1197
CCTV9,http://222.141.134.39:8888/udp/225.1.4.77:1106
CCTV10,http://222.141.134.39:8888/udp/225.1.4.78:1107
CCTV11,http://222.141.134.39:8888/udp/225.1.4.215:1268
CCTV12,http://222.141.134.39:8888/udp/225.1.4.79:1108
CCTV13,http://222.141.134.39:8888/udp/225.1.4.113:1293
CCTV14,http://222.141.134.39:8888/udp/225.1.4.80:1109
CCTV15,http://222.141.134.39:8888/udp/225.1.4.216:1269
CCTV5+,http://222.141.134.39:8888/udp/225.1.4.75:1104
CCTV17,http://222.141.134.39:8888/udp/225.1.4.226:2506
新密综合频道,http://222.141.134.39:8888/udp/225.1.4.239:1285
登封综合,http://222.141.134.39:8888/udp/225.1.4.240:1286
