湖南长沙电信[A],#genre#
湖南卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.253.62:9000    
湖南卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.253.224:9000
江苏卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.216:9000
浙江卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.220:9000
东方卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.224:9000
山东卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.228:9000
四川卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.232:9000
凤凰中文,http://www.hunterpoon.tech:4000/udp/239.76.253.134:9000
凤凰资讯,http://www.hunterpoon.tech:4000/udp/239.76.253.135:9000
湖南卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.253.100:9000
湖南卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.115:9000
湖南经视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.116:9000
湖南都市高清,http://www.hunterpoon.tech:4000/udp/239.76.252.117:9000
湖南电视剧高清,http://www.hunterpoon.tech:4000/udp/239.76.252.118:9000
湖南电影高清,http://www.hunterpoon.tech:4000/udp/239.76.252.119:9000
湖南爱晚高清,http://www.hunterpoon.tech:4000/udp/239.76.252.123:9000
湖南娱乐高清,http://www.hunterpoon.tech:4000/udp/239.76.252.121:9000
金鹰纪实高清,http://www.hunterpoon.tech:4000/udp/239.76.252.122:9000
金鹰卡通高清,http://www.hunterpoon.tech:4000/udp/239.76.252.120:9000
湖南国际高清,http://www.hunterpoon.tech:4000/udp/239.76.252.124:9000
快乐购高清,http://www.hunterpoon.tech:4000/udp/239.76.252.125:9000
湖南教育高清,http://www.hunterpoon.tech:4000/udp/239.76.252.233:9000
嘉丽购高清,http://www.hunterpoon.tech:4000/udp/239.76.253.245:9000
长沙新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.253.121:9000
长沙政法高清,http://www.hunterpoon.tech:4000/udp/239.76.253.122:9000
长沙文旅高清,http://www.hunterpoon.tech:4000/udp/239.76.255.42:9000
优购物高清,http://www.hunterpoon.tech:4000/udp/239.76.254.63:9000
茶频道高清,http://www.hunterpoon.tech:4000/udp/239.76.252.239:9000
CCTV1高清,http://www.hunterpoon.tech:4000/udp/239.76.253.151:9000
CCTV2高清,http://www.hunterpoon.tech:4000/udp/239.76.253.152:9000
CCTV3高清,http://www.hunterpoon.tech:4000/udp/239.76.253.153:9000
CCTV4高清,http://www.hunterpoon.tech:4000/udp/239.76.253.154:9000
CCTV5高清,http://www.hunterpoon.tech:4000/udp/239.76.254.214:9000
CCTV6高清,http://www.hunterpoon.tech:4000/udp/239.76.253.156:9000
CCTV7高清,http://www.hunterpoon.tech:4000/udp/239.76.253.157:9000
CCTV8高清,http://www.hunterpoon.tech:4000/udp/239.76.253.158:9000
CCTV9高清,http://www.hunterpoon.tech:4000/udp/239.76.253.159:9000
CCTV10高清,http://www.hunterpoon.tech:4000/udp/239.76.253.160:9000
CCTV11高清,http://www.hunterpoon.tech:4000/udp/239.76.252.251:9000
CCTV12高清,http://www.hunterpoon.tech:4000/udp/239.76.253.162:9000
CCTV13高清,http://www.hunterpoon.tech:4000/udp/239.76.253.93:9000
CCTV14高清,http://www.hunterpoon.tech:4000/udp/239.76.253.164:9000
CCTV15高清,http://www.hunterpoon.tech:4000/udp/239.76.252.252:9000
CCTV16高清,http://www.hunterpoon.tech:4000/udp/239.76.253.98:9000
CCTV17高清,http://www.hunterpoon.tech:4000/udp/239.76.252.238:9000
CCTV5+高清,http://www.hunterpoon.tech:4000/udp/239.76.254.215:9000
CCTV4欧洲高清,http://www.hunterpoon.tech:4000/udp/239.76.253.95:9000
CCTV4美洲高清,http://www.hunterpoon.tech:4000/udp/239.76.253.96:9000
CGTN高清,http://www.hunterpoon.tech:4000/udp/239.76.252.66:9000
CGTN纪录高清,http://www.hunterpoon.tech:4000/udp/239.76.252.67:9000
CGTN西班牙语高清,http://www.hunterpoon.tech:4000/udp/239.76.253.88:9000
CGTN阿拉伯语高清,http://www.hunterpoon.tech:4000/udp/239.76.253.97:9000
CGTN法语高清,http://www.hunterpoon.tech:4000/udp/239.76.253.87:9000
CGTN俄语高清,http://www.hunterpoon.tech:4000/udp/239.76.253.86:9000
江苏卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.181:9000
浙江卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.182:9000
安徽卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.196:9000
北京卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.184:9000
天津卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.185:9000
东方卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.186:9000
江西卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.225:9000
深圳卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.188:9000
辽宁卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.197:9000
东南卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.190:9000
海南卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.203:9000
广东卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.189:9000
湖北卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.193:9000
广西卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.254.54:9000
山东卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.195:9000
四川卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.91:9000
重庆卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.92:9000
云南卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.254.60:9000
河南卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.202:9000
黑龙江卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.200:9000
贵州卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.198:9000
河北卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.199:9000
吉林卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.201:9000
陕西卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.254.76:9000
山西卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.105:9000
内蒙古卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.106:9000
宁夏卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.107:9000
西藏卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.108:9000
新疆卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.109:9000
甘肃卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.94:9000
卡酷少儿高清,http://www.hunterpoon.tech:4000/udp/239.76.254.81:9000
优漫卡通,http://www.hunterpoon.tech:4000/udp/239.76.252.112:9000
青海卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.254.132:9000
嘉佳卡通,http://www.hunterpoon.tech:4000/udp/239.76.252.230:9000
厦门卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.231:9000
兵团卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.252.232:9000
三沙卫视高清,http://www.hunterpoon.tech:4000/udp/239.76.253.74:9000
延边卫视,http://www.hunterpoon.tech:4000/udp/239.76.254.112:9000
CETV-1高清,http://www.hunterpoon.tech:4000/udp/239.76.252.192:9000
CETV-2,http://www.hunterpoon.tech:4000/udp/239.76.252.253:9000
山东教育,http://www.hunterpoon.tech:4000/udp/239.76.252.191:9000
CETV-4高清,http://www.hunterpoon.tech:4000/udp/239.76.252.254:9000
纪实科教高清,http://www.hunterpoon.tech:4000/udp/239.76.254.65:9000
四川康巴卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.89:9000
宁乡综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.57:9000
张家界新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.252.234:9000
张家界公共高清,http://www.hunterpoon.tech:4000/udp/239.76.252.235:9000
株洲新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.1:9000
湘西新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.252.208:9000
湘西文化旅游高清,http://www.hunterpoon.tech:4000/udp/239.76.252.209:9000
