江苏电信组播[A],#genre#
江苏卫视,http://huijie5421.cn:8800/udp/239.49.8.16:9602
江苏影视,http://huijie5421.cn:8800/udp/239.49.8.118:8000
江苏城市,http://huijie5421.cn:8800/udp/239.49.8.107:8000
江苏综艺,http://huijie5421.cn:8800/udp/239.49.8.108:8000
江苏新闻,http://huijie5421.cn:8800/udp/239.49.8.120:8000
江苏国际,http://huijie5421.cn:8800/udp/239.49.0.22:8168
南京影视,http://huijie5421.cn:8800/udp/239.49.0.24:8000
南京娱乐,http://huijie5421.cn:8800/udp/239.49.0.38:8000
南京生活,http://huijie5421.cn:8800/udp/239.49.0.184:9438
南京教科,http://huijie5421.cn:8800/udp/239.49.0.183:9434
南京少儿,http://huijie5421.cn:8800/udp/239.49.0.45:8000
南京十八,http://huijie5421.cn:8800/udp/239.49.0.26:8200
南京信息,http://huijie5421.cn:8800/udp/239.49.8.14:9426
南京新闻综合,http://huijie5421.cn:8800/udp/239.49.0.25:8192
江苏优漫卡通,http://huijie5421.cn:8800/udp/239.49.8.119:8000
江苏优漫卡通,http://huijie5421.cn:8800/udp/239.49.0.21:8160
江苏体育休闲,http://huijie5421.cn:8800/udp/239.49.8.117:8000
江苏教育,http://huijie5421.cn:8800/udp/239.49.8.122:8000
镇江教育民生,http://huijie5421.cn:8800/udp/239.49.1.73:8000
天元围棋,http://huijie5421.cn:8800/udp/239.49.1.79:8000
四海钓鱼,http://huijie5421.cn:8800/udp/239.49.1.80:8000
江苏国际,http://huijie5421.cn:8800/udp/239.49.1.81:8000
财富天下,http://huijie5421.cn:8800/udp/239.49.1.76:8000

江苏电信组播[B],#genre#
江苏卫视,http://49.73.29.217:9999/udp/239.49.8.16:9602
江苏影视,http://49.73.29.217:9999/udp/239.49.8.118:8000
江苏城市,http://49.73.29.217:9999/udp/239.49.8.107:8000
江苏综艺,http://49.73.29.217:9999/udp/239.49.8.108:8000
江苏新闻,http://49.73.29.217:9999/udp/239.49.8.120:8000
江苏国际,http://49.73.29.217:9999/udp/239.49.0.22:8168
南京影视,http://49.73.29.217:9999/udp/239.49.0.24:8000
南京娱乐,http://49.73.29.217:9999/udp/239.49.0.38:8000
南京生活,http://49.73.29.217:9999/udp/239.49.0.184:9438
南京教科,http://49.73.29.217:9999/udp/239.49.0.183:9434
南京少儿,http://49.73.29.217:9999/udp/239.49.0.45:8000
南京十八,http://49.73.29.217:9999/udp/239.49.0.26:8200
南京信息,http://49.73.29.217:9999/udp/239.49.8.14:9426
南京新闻综合,http://49.73.29.217:9999/udp/239.49.0.25:8192
江苏优漫卡通,http://49.73.29.217:9999/udp/239.49.8.119:8000
江苏优漫卡通,http://49.73.29.217:9999/udp/239.49.0.21:8160
江苏体育休闲,http://49.73.29.217:9999/udp/239.49.8.117:8000
江苏教育,http://49.73.29.217:9999/udp/239.49.8.122:8000
镇江教育民生,http://49.73.29.217:9999/udp/239.49.1.73:8000
天元围棋,http://49.73.29.217:9999/udp/239.49.1.79:8000
四海钓鱼,http://49.73.29.217:9999/udp/239.49.1.80:8000
江苏国际,http://49.73.29.217:9999/udp/239.49.1.81:8000
财富天下,http://49.73.29.217:9999/udp/239.49.1.76:8000


江苏电信组播[C],#genre#
江苏卫视,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.16:9602
江苏影视,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.118:8000
江苏城市,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.107:8000
江苏综艺,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.108:8000
江苏新闻,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.120:8000
江苏国际,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.22:8168
南京影视,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.24:8000
南京娱乐,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.38:8000
南京生活,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.184:9438
南京教科,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.183:9434
南京少儿,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.45:8000
南京十八,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.26:8200
南京信息,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.14:9426
南京新闻综合,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.25:8192
江苏优漫卡通,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.119:8000
江苏优漫卡通,http://jk55269942.myqnapcloud.com:4022/udp/239.49.0.21:8160
江苏体育休闲,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.117:8000
江苏教育,http://jk55269942.myqnapcloud.com:4022/udp/239.49.8.122:8000
镇江教育民生,http://jk55269942.myqnapcloud.com:4022/udp/239.49.1.73:8000
天元围棋,http://jk55269942.myqnapcloud.com:4022/udp/239.49.1.79:8000
四海钓鱼,http://jk55269942.myqnapcloud.com:4022/udp/239.49.1.80:8000
江苏国际,http://jk55269942.myqnapcloud.com:4022/udp/239.49.1.81:8000
财富天下,http://jk55269942.myqnapcloud.com:4022/udp/239.49.1.76:8000
# 更新时间: 2026-08-14 21:00:18
