内蒙古联通[A],#genre#
内蒙古经济,http://1.30.247.80:8686/udp/239.125.1.74:4120
内蒙古文体,http://1.30.247.80:8686/udp/239.125.1.72:4120
内蒙古农牧,http://1.30.247.80:8686/udp/239.125.1.73:4120
内蒙古新闻,http://1.30.247.80:8686/udp/239.125.1.70:4120
内蒙古蒙语文化,http://1.30.247.80:8686/udp/239.125.1.71:4120
内蒙古少儿,http://1.30.247.80:8686/udp/239.125.1.69:4120
鄂尔多斯蒙古语综合,http://1.30.247.80:8686/udp/239.125.2.162:4151
鄂尔多斯新闻,http://1.30.247.80:8686/udp/239.125.2.165:4154
鄂尔多斯经济,http://1.30.247.80:8686/udp/239.125.2.164:4153
鄂尔多斯城市,http://1.30.247.80:8686/udp/239.125.2.163:4152
北京卫视4k,http://1.30.247.80:8686/udp/239.125.2.105:4120
北京卫视4k,http://1.30.247.80:8686/udp/234.1.3.74:5000
广东卫视4k,http://1.30.247.80:8686/udp/234.1.3.75:5000
广东卫视4k,http://1.30.247.80:8686/udp/239.125.1.224:4120
深圳卫视4k,http://1.30.247.80:8686/udp/234.1.3.76:5000
深圳卫视4k,http://1.30.247.80:8686/udp/239.125.1.223:4120
湖南卫视4k,http://1.30.247.80:8686/udp/234.1.3.215:5000
湖南卫视4k,http://1.30.247.80:8686/udp/239.125.1.232:4120
江苏卫视4k,http://1.30.247.80:8686/udp/234.1.3.216:5000
江苏卫视4k,http://1.30.247.80:8686/udp/239.125.1.233:4120
浙江卫视4k,http://1.30.247.80:8686/udp/234.1.3.217:5000
浙江卫视4k,http://1.30.247.80:8686/udp/239.125.1.234:4120
东方卫视4k,http://1.30.247.80:8686/udp/234.1.3.218:5000
东方卫视4k,http://1.30.247.80:8686/udp/239.125.1.235:4120
四川卫视4k,http://1.30.247.80:8686/udp/239.125.1.236:4120
四川卫视4k,http://1.30.247.80:8686/udp/234.1.3.219:5000
山东卫视4k,http://1.30.247.80:8686/udp/239.125.1.237:4120
山东卫视4k,http://1.30.247.80:8686/udp/234.1.3.220:5000


内蒙古联通[B],#genre#
内蒙古经济,http://116.116.118.131:9999/udp/239.125.1.74:4120
内蒙古文体,http://116.116.118.131:9999/udp/239.125.1.72:4120
内蒙古农牧,http://116.116.118.131:9999/udp/239.125.1.73:4120
内蒙古新闻,http://116.116.118.131:9999/udp/239.125.1.70:4120
内蒙古蒙语文化,http://116.116.118.131:9999/udp/239.125.1.71:4120
内蒙古少儿,http://116.116.118.131:9999/udp/239.125.1.69:4120
鄂尔多斯蒙古语综合,http://116.116.118.131:9999/udp/239.125.2.162:4151
鄂尔多斯新闻,http://116.116.118.131:9999/udp/239.125.2.165:4154
鄂尔多斯经济,http://116.116.118.131:9999/udp/239.125.2.164:4153
鄂尔多斯城市,http://116.116.118.131:9999/udp/239.125.2.163:4152
北京卫视4k,http://116.116.118.131:9999/udp/239.125.2.105:4120
北京卫视4k,http://116.116.118.131:9999/udp/234.1.3.74:5000
广东卫视4k,http://116.116.118.131:9999/udp/234.1.3.75:5000
广东卫视4k,http://116.116.118.131:9999/udp/239.125.1.224:4120
深圳卫视4k,http://116.116.118.131:9999/udp/234.1.3.76:5000
深圳卫视4k,http://116.116.118.131:9999/udp/239.125.1.223:4120
湖南卫视4k,http://116.116.118.131:9999/udp/234.1.3.215:5000
湖南卫视4k,http://116.116.118.131:9999/udp/239.125.1.232:4120
江苏卫视4k,http://116.116.118.131:9999/udp/234.1.3.216:5000
江苏卫视4k,http://116.116.118.131:9999/udp/239.125.1.233:4120
浙江卫视4k,http://116.116.118.131:9999/udp/234.1.3.217:5000
浙江卫视4k,http://116.116.118.131:9999/udp/239.125.1.234:4120
东方卫视4k,http://116.116.118.131:9999/udp/234.1.3.218:5000
东方卫视4k,http://116.116.118.131:9999/udp/239.125.1.235:4120
四川卫视4k,http://116.116.118.131:9999/udp/239.125.1.236:4120
四川卫视4k,http://116.116.118.131:9999/udp/234.1.3.219:5000
山东卫视4k,http://116.116.118.131:9999/udp/239.125.1.237:4120
山东卫视4k,http://116.116.118.131:9999/udp/234.1.3.220:5000

# 更新时间: 2026-04-26 09:19:04
