上海电信[A],#genre#
4K高清,http://a.708d.com:10010/udp/239.45.0.33:5140
4K测试,http://a.708d.com:10010/udp/239.45.1.109:5140
CCTV4K,http://a.708d.com:10010/udp/233.18.204.188:5140
CCTV4K,http://a.708d.com:10010/udp/233.18.204.204:5140
CCTV4K,http://a.708d.com:10010/udp/239.45.0.55:5140
CCTV16,http://a.708d.com:10010/udp/233.18.204.114:5140
CCTV16,http://a.708d.com:10010/udp/233.18.204.215:5140
CCTV16,http://a.708d.com:10010/udp/239.45.0.12:5140
欢笑剧场,http://a.708d.com:10010/udp/233.18.204.205:5140
北京卫视,http://a.708d.com:10010/udp/233.18.204.209:5140
广东卫视,http://a.708d.com:10010/udp/233.18.204.218:5140
深圳卫视,http://a.708d.com:10010/udp/233.18.204.219:5140
东方卫视,http://a.708d.com:10010/udp/233.18.204.224:5140
四川卫视,http://a.708d.com:10010/udp/233.18.204.225:5140
江苏卫视,http://a.708d.com:10010/udp/233.18.204.226:5140
湖南卫视,http://a.708d.com:10010/udp/233.18.204.227:5140
山东卫视,http://a.708d.com:10010/udp/233.18.204.228:5140
浙江卫视,http://a.708d.com:10010/udp/233.18.204.229:5140
欢笑剧场,http://a.708d.com:10010/udp/239.45.1.4:5140
北京卫视,http://a.708d.com:10010/udp/239.45.3.123:5140
山东卫视,http://a.708d.com:10010/udp/239.45.3.180:5140
四川卫视,http://a.708d.com:10010/udp/239.45.3.48:5140
BESTV4K纪录,http://a.708d.com:10010/udp/239.45.1.10:5140
BESTV4K动画,http://a.708d.com:10010/udp/239.45.1.11:5140
BESTV4K动画,http://a.708d.com:10010/udp/239.45.1.1:5140
4K电影,http://a.708d.com:10010/udp/239.45.1.42:5140
4K电影,http://a.708d.com:10010/udp/239.45.1.9:5140
4K电影,http://a.708d.com:10010/udp/239.45.3.107:5140

上海电信[B],#genre#
4K高清,http://116.233.24.207:4022/udp/239.45.0.33:5140
4K测试,http://116.233.24.207:4022/udp/239.45.1.109:5140
CCTV4K,http://116.233.24.207:4022/udp/233.18.204.188:5140
CCTV4K,http://116.233.24.207:4022/udp/233.18.204.204:5140
CCTV4K,http://116.233.24.207:4022/udp/239.45.0.55:5140
CCTV16,http://116.233.24.207:4022/udp/233.18.204.114:5140
CCTV16,http://116.233.24.207:4022/udp/233.18.204.215:5140
CCTV16,http://116.233.24.207:4022/udp/239.45.0.12:5140
欢笑剧场,http://116.233.24.207:4022/udp/233.18.204.205:5140
北京卫视,http://116.233.24.207:4022/udp/233.18.204.209:5140
广东卫视,http://116.233.24.207:4022/udp/233.18.204.218:5140
深圳卫视,http://116.233.24.207:4022/udp/233.18.204.219:5140
东方卫视,http://116.233.24.207:4022/udp/233.18.204.224:5140
四川卫视,http://116.233.24.207:4022/udp/233.18.204.225:5140
江苏卫视,http://116.233.24.207:4022/udp/233.18.204.226:5140
湖南卫视,http://116.233.24.207:4022/udp/233.18.204.227:5140
山东卫视,http://116.233.24.207:4022/udp/233.18.204.228:5140
浙江卫视,http://116.233.24.207:4022/udp/233.18.204.229:5140
欢笑剧场,http://116.233.24.207:4022/udp/239.45.1.4:5140
北京卫视,http://116.233.24.207:4022/udp/239.45.3.123:5140
山东卫视,http://116.233.24.207:4022/udp/239.45.3.180:5140
四川卫视,http://116.233.24.207:4022/udp/239.45.3.48:5140
BESTV4K纪录,http://116.233.24.207:4022/udp/239.45.1.10:5140
BESTV4K动画,http://116.233.24.207:4022/udp/239.45.1.11:5140
BESTV4K动画,http://116.233.24.207:4022/udp/239.45.1.1:5140
4K电影,http://116.233.24.207:4022/udp/239.45.1.42:5140
4K电影,http://116.233.24.207:4022/udp/239.45.1.9:5140
4K电影,http://116.233.24.207:4022/udp/239.45.3.107:5140
# 更新时间: 2025-12-09 00:00:12
