陕西电信[A],#genre#
凤凰中文,http://www.chunktv.xyz:10000/udp/239.111.205.78:5140
凤凰资讯,http://www.chunktv.xyz:10000/udp/239.111.205.82:5140
CHC影迷电影,http://www.chunktv.xyz:10000/udp/239.112.205.23:5140
CHC家庭影院,http://www.chunktv.xyz:10000/udp/239.112.205.25:5140
CCTV4K,http://www.chunktv.xyz:10000/udp/239.111.205.40:5140
CCTV16,http://www.chunktv.xyz:10000/udp/239.111.205.134:5140
爱上4K,http://www.chunktv.xyz:10000/udp/239.112.205.186:5140
广东卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.103:5140
深圳卫视4Khttp://192.168.50.1:8686/udp/239.111.205.104:5140
北京卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.51:5140
湖南卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.63:5140
江苏卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.64:5140
东方卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.67:5140
深圳卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.104:5140
四川卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.62:5140
山东卫视4K,http://www.chunktv.xyz:10000/udp/239.111.205.66:5140
陕西新闻资讯,http://www.chunktv.xyz:10000/udp/239.111.205.28:5140
陕西都市青春,http://www.chunktv.xyz:10000/udp/239.111.205.42:5140
陕西银龄,http://www.chunktv.xyz:10000/udp/239.111.205.98:5140
陕西秦腔,http://www.chunktv.xyz:10000/udp/239.111.205.100:5140
陕西体育休闲,http://www.chunktv.xyz:10000/udp/239.111.205.36:5140
陕西西部电影,http://www.chunktv.xyz:10000/udp/239.111.205.102:5140
西安新闻综合,http://www.chunktv.xyz:10000/udp/239.111.205.27:5140
CCTV1,http://www.chunktv.xyz:10000/udp/239.112.205.59:5140
CCTV2,http://www.chunktv.xyz:10000/udp/239.112.205.78:5140
CCTV3,http://www.chunktv.xyz:10000/udp/239.112.205.221:5140
CCTV4,http://www.chunktv.xyz:10000/udp/239.112.205.202:5140
CCTV5,http://www.chunktv.xyz:10000/udp/239.112.205.222:5140
CCTV5+,http://www.chunktv.xyz:10000/udp/239.111.205.13:5140
CCTV6,http://www.chunktv.xyz:10000/udp/239.112.205.223:5140
CCTV7,http://www.chunktv.xyz:10000/udp/239.112.205.83:5140
CCTV8,http://www.chunktv.xyz:10000/udp/239.112.205.224:5140
CCTV9,http://www.chunktv.xyz:10000/udp/239.112.205.85:5140
CCTV10,http://www.chunktv.xyz:10000/udp/239.112.205.86:5140
CCTV11,http://www.chunktv.xyz:10000/udp/239.112.205.213:5140
CCTV12,http://www.chunktv.xyz:10000/udp/239.112.205.88:5140
CCTV13,http://www.chunktv.xyz:10000/udp/239.111.205.53:5140
CCTV14,http://www.chunktv.xyz:10000/udp/239.112.205.91:5140
CCTV15,http://www.chunktv.xyz:10000/udp/239.112.205.214:5140
CCTV17,http://www.chunktv.xyz:10000/udp/239.112.205.211:5140
CCTV4欧洲,http://www.chunktv.xyz:10000/udp/239.111.205.83:5140
CCTV4美洲,http://www.chunktv.xyz:10000/udp/239.111.205.84:5140
北京纪实科教,http://www.chunktv.xyz:10000/udp/239.111.205.55:5140
金鹰纪实,http://www.chunktv.xyz:10000/udp/239.112.205.203:5140
陕西卫视,http://www.chunktv.xyz:10000/udp/239.111.205.35:5140
湖南卫视,http://www.chunktv.xyz:10000/udp/239.112.205.62:5140
东方卫视,http://www.chunktv.xyz:10000/udp/239.112.205.61:5140
江苏卫视,http://www.chunktv.xyz:10000/udp/239.112.205.63:5140
北京卫视,http://www.chunktv.xyz:10000/udp/239.112.205.65:5140
浙江卫视,http://www.chunktv.xyz:10000/udp/239.112.205.64:5140
深圳卫视,http://www.chunktv.xyz:10000/udp/239.112.205.67:5140
广东卫视,http://www.chunktv.xyz:10000/udp/239.112.205.66:5140
黑龙江卫视,http://www.chunktv.xyz:10000/udp/239.112.205.68:5140
重庆卫视,http://www.chunktv.xyz:10000/udp/239.112.205.179:5140
天津卫视,http://www.chunktv.xyz:10000/udp/239.112.205.74:5140
安徽卫视,http://www.chunktv.xyz:10000/udp/239.112.205.72:5140
山东卫视,http://www.chunktv.xyz:10000/udp/239.112.205.70:5140
湖北卫视,http://www.chunktv.xyz:10000/udp/239.112.205.69:5140
四川卫视,http://www.chunktv.xyz:10000/udp/239.112.205.184:5140
河南卫视,http://www.chunktv.xyz:10000/udp/239.112.205.180:5140
广西卫视,http://www.chunktv.xyz:10000/udp/239.111.205.14:5140
江西卫视,http://www.chunktv.xyz:10000/udp/239.111.205.16:5140
河北卫视,http://www.chunktv.xyz:10000/udp/239.112.205.200:5140
东南卫视,http://www.chunktv.xyz:10000/udp/239.112.205.182:5140
贵州卫视,http://www.chunktv.xyz:10000/udp/239.112.205.178:5140
辽宁卫视,http://www.chunktv.xyz:10000/udp/239.112.205.73:5140
吉林卫视,http://www.chunktv.xyz:10000/udp/239.112.205.183:5140
农林卫视,http://www.chunktv.xyz:10000/udp/239.112.205.26:5140
山西卫视,http://www.chunktv.xyz:10000/udp/239.111.205.39:5140
甘肃卫视,http://www.chunktv.xyz:10000/udp/239.111.205.88:5140
西藏卫视,http://www.chunktv.xyz:10000/udp/239.111.205.58:5140
新疆卫视,http://www.chunktv.xyz:10000/udp/239.111.205.59:5140
兵团卫视,http://www.chunktv.xyz:10000/udp/239.111.205.60:5140
青海卫视,http://www.chunktv.xyz:10000/udp/239.111.205.105:5140
云南卫视,http://www.chunktv.xyz:10000/udp/239.111.205.106:5140
宁夏卫视,http://www.chunktv.xyz:10000/udp/239.111.205.61:5140
海南卫视,http://www.chunktv.xyz:10000/udp/239.112.205.50:5140
厦门卫视,http://www.chunktv.xyz:10000/udp/239.112.205.60:5140
三沙卫视,http://www.chunktv.xyz:10000/udp/239.111.205.52:5140
内蒙古卫视,http://www.chunktv.xyz:10000/udp/239.112.205.55:5140



陕西电信[B],#genre#
凤凰中文,http://124.116.170.138:8081/udp/239.111.205.78:5140
凤凰资讯,http://124.116.170.138:8081/udp/239.111.205.82:5140
CHC影迷电影,http://124.116.170.138:8081/udp/239.112.205.23:5140
CHC家庭影院,http://124.116.170.138:8081/udp/239.112.205.25:5140
CCTV4K,http://124.116.170.138:8081/udp/239.111.205.40:5140
CCTV16,http://124.116.170.138:8081/udp/239.111.205.134:5140
爱上4K,http://124.116.170.138:8081/udp/239.112.205.186:5140
广东卫视4K,http://124.116.170.138:8081/udp/239.111.205.103:5140
深圳卫视4Khttp://192.168.50.1:8686/udp/239.111.205.104:5140
北京卫视4K,http://124.116.170.138:8081/udp/239.111.205.51:5140
湖南卫视4K,http://124.116.170.138:8081/udp/239.111.205.63:5140
江苏卫视4K,http://124.116.170.138:8081/udp/239.111.205.64:5140
东方卫视4K,http://124.116.170.138:8081/udp/239.111.205.67:5140
深圳卫视4K,http://124.116.170.138:8081/udp/239.111.205.104:5140
四川卫视4K,http://124.116.170.138:8081/udp/239.111.205.62:5140
山东卫视4K,http://124.116.170.138:8081/udp/239.111.205.66:5140
陕西新闻资讯,http://124.116.170.138:8081/udp/239.111.205.28:5140
陕西都市青春,http://124.116.170.138:8081/udp/239.111.205.42:5140
陕西银龄,http://124.116.170.138:8081/udp/239.111.205.98:5140
陕西秦腔,http://124.116.170.138:8081/udp/239.111.205.100:5140
陕西体育休闲,http://124.116.170.138:8081/udp/239.111.205.36:5140
陕西西部电影,http://124.116.170.138:8081/udp/239.111.205.102:5140
西安新闻综合,http://124.116.170.138:8081/udp/239.111.205.27:5140
CCTV1,http://124.116.170.138:8081/udp/239.112.205.59:5140
CCTV2,http://124.116.170.138:8081/udp/239.112.205.78:5140
CCTV3,http://124.116.170.138:8081/udp/239.112.205.221:5140
CCTV4,http://124.116.170.138:8081/udp/239.112.205.202:5140
CCTV5,http://124.116.170.138:8081/udp/239.112.205.222:5140
CCTV5+,http://124.116.170.138:8081/udp/239.111.205.13:5140
CCTV6,http://124.116.170.138:8081/udp/239.112.205.223:5140
CCTV7,http://124.116.170.138:8081/udp/239.112.205.83:5140
CCTV8,http://124.116.170.138:8081/udp/239.112.205.224:5140
CCTV9,http://124.116.170.138:8081/udp/239.112.205.85:5140
CCTV10,http://124.116.170.138:8081/udp/239.112.205.86:5140
CCTV11,http://124.116.170.138:8081/udp/239.112.205.213:5140
CCTV12,http://124.116.170.138:8081/udp/239.112.205.88:5140
CCTV13,http://124.116.170.138:8081/udp/239.111.205.53:5140
CCTV14,http://124.116.170.138:8081/udp/239.112.205.91:5140
CCTV15,http://124.116.170.138:8081/udp/239.112.205.214:5140
CCTV17,http://124.116.170.138:8081/udp/239.112.205.211:5140
CCTV4欧洲,http://124.116.170.138:8081/udp/239.111.205.83:5140
CCTV4美洲,http://124.116.170.138:8081/udp/239.111.205.84:5140
北京纪实科教,http://124.116.170.138:8081/udp/239.111.205.55:5140
金鹰纪实,http://124.116.170.138:8081/udp/239.112.205.203:5140
陕西卫视,http://124.116.170.138:8081/udp/239.111.205.35:5140
湖南卫视,http://124.116.170.138:8081/udp/239.112.205.62:5140
东方卫视,http://124.116.170.138:8081/udp/239.112.205.61:5140
江苏卫视,http://124.116.170.138:8081/udp/239.112.205.63:5140
北京卫视,http://124.116.170.138:8081/udp/239.112.205.65:5140
浙江卫视,http://124.116.170.138:8081/udp/239.112.205.64:5140
深圳卫视,http://124.116.170.138:8081/udp/239.112.205.67:5140
广东卫视,http://124.116.170.138:8081/udp/239.112.205.66:5140
黑龙江卫视,http://124.116.170.138:8081/udp/239.112.205.68:5140
重庆卫视,http://124.116.170.138:8081/udp/239.112.205.179:5140
天津卫视,http://124.116.170.138:8081/udp/239.112.205.74:5140
安徽卫视,http://124.116.170.138:8081/udp/239.112.205.72:5140
山东卫视,http://124.116.170.138:8081/udp/239.112.205.70:5140
湖北卫视,http://124.116.170.138:8081/udp/239.112.205.69:5140
四川卫视,http://124.116.170.138:8081/udp/239.112.205.184:5140
河南卫视,http://124.116.170.138:8081/udp/239.112.205.180:5140
广西卫视,http://124.116.170.138:8081/udp/239.111.205.14:5140
江西卫视,http://124.116.170.138:8081/udp/239.111.205.16:5140
河北卫视,http://124.116.170.138:8081/udp/239.112.205.200:5140
东南卫视,http://124.116.170.138:8081/udp/239.112.205.182:5140
贵州卫视,http://124.116.170.138:8081/udp/239.112.205.178:5140
辽宁卫视,http://124.116.170.138:8081/udp/239.112.205.73:5140
吉林卫视,http://124.116.170.138:8081/udp/239.112.205.183:5140
农林卫视,http://124.116.170.138:8081/udp/239.112.205.26:5140
山西卫视,http://124.116.170.138:8081/udp/239.111.205.39:5140
甘肃卫视,http://124.116.170.138:8081/udp/239.111.205.88:5140
西藏卫视,http://124.116.170.138:8081/udp/239.111.205.58:5140
新疆卫视,http://124.116.170.138:8081/udp/239.111.205.59:5140
兵团卫视,http://124.116.170.138:8081/udp/239.111.205.60:5140
青海卫视,http://124.116.170.138:8081/udp/239.111.205.105:5140
云南卫视,http://124.116.170.138:8081/udp/239.111.205.106:5140
宁夏卫视,http://124.116.170.138:8081/udp/239.111.205.61:5140
海南卫视,http://124.116.170.138:8081/udp/239.112.205.50:5140
厦门卫视,http://124.116.170.138:8081/udp/239.112.205.60:5140
三沙卫视,http://124.116.170.138:8081/udp/239.111.205.52:5140
内蒙古卫视,http://124.116.170.138:8081/udp/239.112.205.55:5140

# 更新时间: 2026-04-26 03:00:04
