山西联通[A],#genre#
北京卫视,http://http://home.yulei.online:9999/rtp/226.0.2.155:9172
东方卫视,http://http://home.yulei.online:9999/rtp/226.0.1.248:2121
广东卫视,http://http://home.yulei.online:9999/rtp/226.0.1.245:2120
深圳卫视,http://http://home.yulei.online:9999/rtp/226.0.1.244:2119
湖南卫视,http://http://home.yulei.online:9999/rtp/226.0.1.246:2125
山东卫视,http://http://home.yulei.online:9999/rtp/226.0.1.251:2124
四川卫视,http://http://home.yulei.online:9999/rtp/226.0.1.250:2126
浙江卫视,http://http://home.yulei.online:9999/rtp/226.0.1.247:2123
江苏卫视,http://http://home.yulei.online:9999/rtp/226.0.1.249:2122
CCTV1,http://http://home.yulei.online:9999/rtp/226.0.2.153:9136
CCTV2,http://http://home.yulei.online:9999/rtp/226.0.2.154:9144
CCTV3,http://http://home.yulei.online:9999/rtp/226.0.2.208:9576
CCTV4,http://http://home.yulei.online:9999/rtp/226.0.2.156:9160
CCTV5,http://http://home.yulei.online:9999/rtp/226.0.2.209:9584
CCTV5+,http://http://home.yulei.online:9999/rtp/226.0.2.168:9256
CCTV6,http://http://home.yulei.online:9999/rtp/226.0.2.210:9592
CCTV7,http://http://home.yulei.online:9999/rtp/226.0.2.159:9184
CCTV8,http://http://home.yulei.online:9999/rtp/226.0.2.211:9600
CCTV9,http://http://home.yulei.online:9999/rtp/226.0.2.161:9200
CCTV10,http://http://home.yulei.online:9999/rtp/226.0.2.162:9208
CCTV12,http://http://home.yulei.online:9999/rtp/226.0.2.164:9224
CCTV13,http://http://home.yulei.online:9999/rtp/226.0.2.165:9232
CCTV14,http://http://home.yulei.online:9999/rtp/226.0.2.166:9240
CCTV16,http://http://home.yulei.online:9999/rtp/226.0.2.169:9264
CCTV17,http://http://home.yulei.online:9999/rtp/226.0.2.170:9272
CETV1,http://http://home.yulei.online:9999/rtp/226.0.2.181:9360
早期教育,http://http://home.yulei.online:9999/rtp/226.0.2.99:8704
CHC影迷电影,http://http://home.yulei.online:9999/rtp/226.0.2.93:8004
CHC家庭影院,http://http://home.yulei.online:9999/rtp/226.0.2.240:9820
CHC动作电影,http://http://home.yulei.online:9999/rtp/226.0.2.94:8012
山西文体生活,http://http://home.yulei.online:9999/rtp/226.0.2.16:8040
山西文体生活,http://http://home.yulei.online:9999/rtp/226.0.2.237:9808
山西社会与法治,http://http://home.yulei.online:9999/rtp/226.0.2.238:9816
山西经济与科技,http://http://home.yulei.online:9999/rtp/226.0.2.236:9800
山西黄河HD,http://http://home.yulei.online:9999/rtp/226.0.2.235:9792
清徐HD,http://http://home.yulei.online:9999/rtp/226.0.2.191:9440
第一剧场,http://http://home.yulei.online:9999/rtp/226.0.2.221:9680
风云剧场,http://http://home.yulei.online:9999/rtp/226.0.2.227:9728
风云足球,http://http://home.yulei.online:9999/rtp/226.0.2.225:9712
风云音乐,http://http://home.yulei.online:9999/rtp/226.0.2.220:9672
