天津联通[A],#genre#
天津新闻-HD,http://home.techua.net:8000/udp/225.1.1.130:5002
天津文艺-HD,http://home.techua.net:8000/udp/225.1.1.131:5002
天津影视-HD,http://home.techua.net:8000/udp/225.1.1.149:5002
天津都市-HD,http://home.techua.net:8000/udp/225.1.1.128:5002
天津体育-HD,http://home.techua.net:8000/udp/225.1.1.122:5002
天津教育-HD,http://home.techua.net:8000/udp/225.1.1.129:5002
天津冀州台-HD,http://home.techua.net:8000/udp/225.1.1.82:5002
天津企业频道,http://home.techua.net:8000/udp/225.1.2.14:5002

天津联通[B],#genre#
天津新闻-HD,http://221.198.169.245:8888/udp/225.1.1.130:5002
天津文艺-HD,http://221.198.169.245:8888/udp/225.1.1.131:5002
天津影视-HD,http://221.198.169.245:8888/udp/225.1.1.149:5002
天津都市-HD,http://221.198.169.245:8888/udp/225.1.1.128:5002
天津体育-HD,http://221.198.169.245:8888/udp/225.1.1.122:5002
天津教育-HD,http://221.198.169.245:8888/udp/225.1.1.129:5002
天津冀州台-HD,http://221.198.169.245:8888/udp/225.1.1.82:5002
天津企业频道,http://221.198.169.245:8888/udp/225.1.2.14:5002
# 更新时间: 2025-11-20 19:00:17
