host,ip,port,country,region
14.145.131.83:8000,14.145.131.83,8000,CN,Guangdong
42.237.24.5:9999,42.237.24.5,9999,CN,Henan
222.188.164.130:4022,222.188.164.130,4022,CN,Jiangsu
124.64.220.218:8686,124.64.220.218,8686,CN,Beijing
117.86.51.165:7777,117.86.51.165,7777,CN,Jiangsu
113.65.178.244:10000,113.65.178.244,10000,CN,Guangdong
120.0.44.212:9999,120.0.44.212,9999,CN,Hebei
113.228.90.91:9527,113.228.90.91,9527,CN,Liaoning
113.65.124.131:9527,113.65.124.131,9527,CN,Guangdong
183.188.108.192:9999,183.188.108.192,9999,CN,Shanxi
112.233.46.120:4567,112.233.46.120,4567,CN,Shandong
183.188.108.130:9999,183.188.108.130,9999,CN,Shanxi
101.204.204.251:4022,101.204.204.251,4022,CN,Sichuan
27.9.90.149:8001,27.9.90.149,8001,CN,Chongqing
58.35.69.187:8001,58.35.69.187,8001,CN,Shanghai
60.223.72.157:8001,60.223.72.157,8001,CN,Shanxi
49.77.20.134:8118,49.77.20.134,8118,CN,Jiangsu
121.230.33.64:8000,121.230.33.64,8000,CN,Jiangsu
171.95.8.116:8000,171.95.8.116,8000,CN,Sichuan
123.5.151.214:8090,123.5.151.214,8090,CN,Henan
223.166.87.123:8181,223.166.87.123,8181,CN,Shanghai
59.174.161.184:8686,59.174.161.184,8686,CN,Hubei
125.120.122.18:8686,125.120.122.18,8686,CN,Zhejiang
1.85.225.111:8686,1.85.225.111,8686,CN,Shaanxi
58.19.32.207:4022,58.19.32.207,4022,CN,Hubei
113.17.153.242:8001,113.17.153.242,8001,CN,"Guangxi Zhuangzu"
58.35.69.165:8001,58.35.69.165,8001,CN,Shanghai
211.158.152.97:8008,211.158.152.97,8008,CN,Chongqing
58.35.69.179:8001,58.35.69.179,8001,CN,Shanghai
125.104.147.189:4022,125.104.147.189,4022,CN,Zhejiang
58.17.134.3:8002,58.17.134.3,8002,CN,Chongqing
183.189.132.118:4022,183.189.132.118,4022,CN,Shanxi
183.185.239.137:8001,183.185.239.137,8001,CN,Shanxi
42.226.127.23:6666,42.226.127.23,6666,CN,Henan
60.187.95.36:8088,60.187.95.36,8088,CN,Zhejiang
222.139.123.137:10000,222.139.123.137,10000,CN,Henan
171.117.186.220:8002,171.117.186.220,8002,CN,Shanxi
218.74.4.238:8090,218.74.4.238,8090,CN,Zhejiang
27.9.90.175:8001,27.9.90.175,8001,CN,Chongqing
110.255.26.130:8088,110.255.26.130,8088,CN,Hebei
139.227.112.109:8001,139.227.112.109,8001,CN,Shanghai
183.185.51.65:89,183.185.51.65,89,CN,Shanxi
27.14.159.146:10000,27.14.159.146,10000,CN,Chongqing
27.11.58.9:8002,27.11.58.9,8002,CN,Chongqing
