新疆电信[A],#genre#
CCTV1,http://222.81.240.54:5555/udp/238.125.5.1:5140
CCTV1,http://222.81.240.54:5555/udp/238.125.5.96:5140
CCTV2,http://222.81.240.54:5555/udp/238.125.5.20:5140
CCTV3,http://222.81.240.54:5555/udp/238.125.5.21:5140
CCTV4,http://222.81.240.54:5555/udp/238.125.1.67:5140
CCTV4,http://222.81.240.54:5555/udp/238.125.5.67:5140
CCTV5,http://222.81.240.54:5555/udp/238.125.1.22:5140
CCTV5,http://222.81.240.54:5555/udp/238.125.5.22:5140
CCTV5+,http://222.81.240.54:5555/udp/238.125.1.29:5140
CCTV5+,http://222.81.240.54:5555/udp/238.125.5.29:5140
CCTV6,http://222.81.240.54:5555/udp/238.125.1.23:5140
CCTV6,http://222.81.240.54:5555/udp/238.125.5.23:5140
CCTV7,http://222.81.240.54:5555/udp/238.125.1.24:5140
CCTV7,http://222.81.240.54:5555/udp/238.125.5.24:5140
CCTV8,http://222.81.240.54:5555/udp/238.125.1.25:5140
CCTV8,http://222.81.240.54:5555/udp/238.125.5.25:5140
CCTV9,http://222.81.240.54:5555/udp/238.125.1.26:5140
CCTV9,http://222.81.240.54:5555/udp/238.125.4.139:5140
CCTV9,http://222.81.240.54:5555/udp/238.125.5.26:5140
CCTV1,http://222.81.240.54:5555/udp/238.125.1.1:5140
CCTV10,http://222.81.240.54:5555/udp/238.125.1.27:5140
CCTV10,http://222.81.240.54:5555/udp/238.125.5.27:5140
CCTV11,http://222.81.240.54:5555/udp/238.125.4.83:5140
CCTV12,http://222.81.240.54:5555/udp/238.125.1.28:5140
CCTV12,http://222.81.240.54:5555/udp/238.125.5.28:5140
CCTV13,http://222.81.240.54:5555/udp/238.125.2.245:5140
CCTV13,http://222.81.240.54:5555/udp/238.125.5.31:5140
CCTV14,http://222.81.240.54:5555/udp/238.125.1.66:5140
CCTV14,http://222.81.240.54:5555/udp/238.125.5.66:5140
CCTV15,http://222.81.240.54:5555/udp/238.125.3.213:5140
CCTV15,http://222.81.240.54:5555/udp/238.125.4.84:5140
CCTV16,http://222.81.240.54:5555/udp/238.125.2.168:5140
CCTV16,http://222.81.240.54:5555/udp/238.125.2.183:5140
CCTV16,http://222.81.240.54:5555/udp/238.125.5.120:5140
