云南电信[A],#genre#
江西卫视,http://ynqj1.myshare.pw:55555/udp/239.200.201.79:8876
优优宝贝,http://ynqj1.myshare.pw:55555/udp/239.200.201.173:8644
CHC影迷电影,http://ynqj1.myshare.pw:55555/udp/239.200.201.34:8148
CHC动作电影,http://ynqj1.myshare.pw:55555/udp/239.200.201.31:8144
昆明教育电视台,http://ynqj1.myshare.pw:55555/udp/239.200.201.144:8844
云南影视,http://ynqj1.myshare.pw:55555/udp/239.200.200.15:8856



云南电信[B],#genre#
江西卫视,http://ynqj1.myshare.pw:55555/udp/239.200.201.79:8876
优优宝贝,http://ynqj1.myshare.pw:55555/udp/239.200.201.173:8644
CHC影迷电影,http://ynqj1.myshare.pw:55555/udp/239.200.201.34:8148
CHC动作电影,http://ynqj1.myshare.pw:55555/udp/239.200.201.31:8144
昆明教育电视台,http://ynqj1.myshare.pw:55555/udp/239.200.201.144:8844
云南影视,http://ynqj1.myshare.pw:55555/udp/239.200.200.15:8856

# 更新时间: 2026-05-06 08:17:04
